"Governo"|"MP_id"|"Nome deputado"|"Nome do cargo"|"Data de início"|"Data de fim"
"GC16"||"Maria do Carmo Seabra"|"Ministra da Educação"|17-07-2004|11-03-2005
"GC16"||"Maria da Graça Carvalho"|"Ministra da Ciência, Inovação e Ensino Superior"|17-07-2004|11-03-2005
"GC16"||"Luís Filipe Pereira"|"Ministro da Saúde"|17-07-2004|11-03-2005
"GC16"|1905|"Fernando Negrão"|"Ministro da Segurança Social, da Família e da Criança"|17-07-2004|11-03-2005
"GC16"||"António Mexia"|"Ministro das Obras Públicas, Transportes e Comunicações"|17-07-2004|11-03-2005
"GC16"||"Maria João Bustorff"|"Ministra da Cultura"|17-07-2004|11-03-2005
"GC16"|1083|"Luís Nobre Guedes"|"Ministro do Ambiente e do Ordenamento do Território"|17-07-2004|11-03-2005
"GC16"|1655|"Telmo Correia"|"Ministro do Turismo"|17-07-2004|11-03-2005
"GC16"|133|"Rui Gomes da Silva"|"Ministro Adjunto do Primeiro-Ministro"|02-12-2004|11-03-2005
"GC16"|133|"Rui Gomes da Silva"|"Ministro dos Assuntos Parlamentares"|21-07-2004|02-12-2004
"GC16"|1645|"Henrique Chaves"|"Ministro Adjunto do Primeiro-Ministro"|17-07-2004|02-12-2004
"GC17"|285|"José Sócrates"|"Primeiro-Ministro"|12-03-2005|25-10-2009
"GC17"|538|"Luís Amado"|"Ministro de Estado"|03-07-2006|25-10-2009
"GC17"|588|"Diogo Freitas do Amaral"|"Ministro de Estado"|12-03-2005|03-07-2006
"GC17"|538|"Luís Amado"|"Ministro dos Negócios Estrangeiros"|03-07-2006|25-10-2009
"GC17"|588|"Diogo Freitas do Amaral"|"Ministro dos Negócios Estrangeiros"|12-03-2005|03-07-2006
"GC17"||"Teixeira dos Santos"|"Ministro de Estado"|21-07-2005|25-10-2009
"GC17"|156|"António Costa"|"Ministro de Estado"|12-03-2005|17-05-2007
"GC17"||"Luís Campos e Cunha"|"Ministro de Estado"|12-03-2005|21-07-2005
"GC17"||"Luís Campos e Cunha"|"Ministro das Finanças"|12-03-2005|21-07-2005
"GC17"||"Teixeira dos Santos"|"Ministro das Finanças"|21-07-2005|25-10-2009
"GC17"|2050|"Manuel Pinho"|"Ministro da Economia e da Inovação"|12-03-2005|06-07-2009
"GC17"||"Teixeira dos Santos"|"Ministro da Economia e da Inovação"|06-07-2009|25-10-2009
"GC17"|2011|"Pedro Silva Pereira"|"Ministro da Presidência"|12-03-2005|25-10-2009
"GC17"|538|"Luís Amado"|"Ministro da Defesa Nacional"|12-03-2005|03-07-2006
"GC17"||"Nuno Severiano Teixeira"|"Ministro da Defesa Nacional"|03-07-2006|25-10-2009
"GC17"||"Rui Pereira"|"Ministro da Administração Interna"|17-05-2007|25-10-2009
"GC17"|156|"António Costa"|"Ministro da Administração Interna e da Justiça"|12-03-2005|17-05-2007
"GC17"||"Francisco Nunes Correia"|"Ministro do Ambiente, do Ordenamento do Território e do Desenvolvimento Regional"|12-03-2005|25-10-2009
"GC17"||"Jaime Silva"|"Ministro da Agricultura, do Desenvolvimento Rural e das Pescas"|12-03-2005|25-10-2009
"GC17"||"Mário Lino"|"Ministro das Obras Públicas, Transportes e Comunicações"|12-03-2005|25-10-2009
"GC17"|1867|"José Vieira da Silva"|"Ministro do Trabalho e da Solidariedade Social"|12-03-2005|25-10-2009
"GC17"|153|"António Correia de Campos"|"Ministra da Saúde"|12-03-2005|30-01-2008
"GC17"|3986|"Ana Jorge"|"Ministra da Saúde"|30-01-2008|25-10-2009
"GC17"||"Maria de Lurdes Rodrigues"|"Ministra da Educação"|12-03-2005|25-10-2009
"GC17"||"Mariano Gago"|"Ministro da Ciência, Tecnologia e Ensino Superior"|12-03-2005|25-10-2009
"GC17"|1672|"Isabel Pires de Lima"|"Ministro da Cultura"|12-03-2005|30-01-2008
"GC17"||"José António Pinto Ribeiro"|"Ministro da Cultura"|30-01-2008|25-10-2009
"GC17"|1278|"Augusto Santos Silva"|"Ministro dos Assuntos Parlamentares"|12-03-2005|25-10-2009
"GC18"|285|"José Sócrates"|"Primeiro-Ministro"|26-10-2009|20-06-2011
"GC18"|538|"Luís Amado"|"Ministro de Estado e dos Negócios Estrangeiros"|26-10-2009|20-06-2011
"GC18"||"Teixeira dos Santos"|"Ministro de Estado e das Finanças"|26-10-2009|20-06-2011
"GC18"|2011|"Pedro Silva Pereira"|"Ministro da Presidência"|26-10-2009|20-06-2011
"GC18"|1278|"Augusto Santos Silva"|"Ministro da Defesa Nacional"|26-10-2009|20-06-2011
"GC18"||"Rui Pereira"|"Ministro da Administração Interna"|26-10-2009|20-06-2011
"GC18"|462|"Alberto Martins"|"Ministro da Justiça"|26-10-2009|20-06-2011
"GC18"|1867|"José Vieira da Silva"|"Ministro da Economia, da Inovação e do Desenvolvimento"|26-10-2009|20-06-2011
"GC18"||"António Serrano"|"Ministro da Agricultura, do Desenvolvimento Rural e das Pescas"|26-10-2009|20-06-2011
"GC18"||"António Mendonça"|"Ministro das Obras Públicas, Transportes e Comunicações"|26-10-2009|20-06-2011
"GC18"||"Dulce Pássaro"|"Ministra do Ambiente e do Ordenamento do Território"|26-10-2009|20-06-2011
"GC18"||"Helena André"|"Ministra do Trabalho e da Solidariedade Social"|26-10-2009|20-06-2011
"GC18"|3986|"Ana Jorge"|"Ministra da Saúde"|26-10-2009|20-06-2011
"GC18"||"Isabel Alçada"|"Ministra da Educação"|26-10-2009|20-06-2011
"GC18"||"Mariano Gago"|"Ministro da Ciência, Tecnologia e Ensino Superior"|26-10-2009|20-06-2011
"GC18"|1851|"Gabriela Canavilhas"|"Ministra da Cultura"|26-10-2009|20-06-2011
"GC18"|179|"Jorge Lacão"|"Ministro dos Assuntos Parlamentares"|26-10-2009|20-06-2011
"GC19"|129|"Pedro Passos Coelho"|"Primeiro-Ministro"|21-06-2011|
"GC19"||"Vítor Gaspar"|"Ministro de Estado e das Finanças"|21-06-2011|
"GC19"|1352|"Paulo Portas"|"Ministro de Estado e dos Negócios Estrangeiros"|21-06-2011|
"GC19"|2061|"José Pedro Aguiar Branco"|"Ministro da Defesa Nacional"|21-06-2011|
"GC19"|123|"Miguel Macedo"|"Ministro da Administração Interna"|21-06-2011|
"GC19"|4434|"Paula Teixeira da Cruz"|"Ministra da Justiça"|21-06-2011|
"GC19"|124|"Miguel Relvas"|"Ministro Adjunto e dos Assuntos Parlamentares"|21-06-2011|
"GC19"||"Álvaro Santos Pereira"|"Ministro da Economia e do Emprego"|21-06-2011|
"GC19"|4057|"Assunção Cristas"|"Ministra da Agricultura, do Mar, do Ambiente e do Ordenamento do Território"|21-06-2011|
"GC19"||"Paulo Macedo"|"Ministro da Saúde"|21-06-2011|
"GC19"||"Nuno Crato"|"Ministro da Educação e da Ciência"|21-06-2011|
"GC19"|1102|"Pedro Mota Soares"|"Ministro da Solidariedade e da Segurança Social"|21-06-2011|
"GC19"|1239|"Luís Marques Guedes"|"Secretário de Estado da Presidência do Conselho de Ministros"|21-06-2011|
"GC19"|4293|"Carlos Moedas"|"Secretário de Estado Adjunto do Primeiro-Ministro"|21-06-2011|
"GC19"|4310|"Francisco José Viegas"|"Secretário de Estado da Cultura"|21-06-2011|
"GC19"||"Luís Morais Sarmento"|"Secretário de Estado do Orçamento"|21-06-2011|
"GC19"||"Maria Luís Albuquerque"|"Secretária de Estado do Tesouro e das Finanças"|21-06-2011|
"GC19"||"Paulo Núncio"|"Secretário de Estado dos Assuntos Fiscais"|21-06-2011|
"GC19"||"Hélder Rosalino"|"Secretário de Estado da Administração Pública"|21-06-2011|
"GC19"||"Miguel Morais Leitão"|"Secretário de Estado Adjunto e dos Assuntos Europeus"|21-06-2011|
"GC19"||"Luís Brites Pereira"|"Secretário de Estado dos Negócios Estrangeiros e da Cooperação"|21-06-2011|
"GC19"||"José Cesário"|"Secretário de Estado das Comunidades Portuguesas"|21-06-2011|
"GC19"||"Vânia Dias da Silva"|"Subsecretária de Estado Adjunta do Ministro de Estado e dos Negócios Estrangeiros"|21-06-2011|
"GC19"||"Paulo Braga Lino"|"Secretário de Estado Adjunto e da Defesa Nacional"|21-06-2011|
"GC19"||"Juvenal da Silva Peneda"|"Secretário de Estado Adjunto do Ministro da Administração Interna"|21-06-2011|
"GC19"|4172|"Filipe Lobo d'Ávila"|"Secretário de Estado da Administração Interna"|21-06-2011|
"GC19"||"Fernando Santo"|"Secretário de Estado da Administração Patrimonial e Equipamentos do Ministério da Justiça"|21-06-2011|
"GC19"|1619|"Feliciano Barreiras Duarte"|"Secretário de Estado Adjunto do Ministro Adjunto e dos Assuntos Parlamentares"|21-06-2011|
"GC19"|1897|"Teresa Morais"|"Secretária de Estado dos Assuntos Parlamentares e da Igualdade"|21-06-2011|
"GC19"||"Paulo Simões Júlio"|"Secretário de Estado da Administração Local e Reforma Administrativa"|21-06-2011|
"GC19"||"Alexandre Mestre"|"Secretário de Estado do Desporto e Juventude"|21-06-2011|
"GC19"||"António Almeida Henriques"|"Secretário de Estado Adjunto da Economia e Desenvolvimento Regional"|21-06-2011|
"GC19"||"Pedro Silva Martins"|"Secretário de Estado do Emprego"|21-06-2011|
"GC19"||"Carlos Nuno Oliveira"|"Secretário de Estado do Empreendedorismo, Competitividade e Inovação"|21-06-2011|
"GC19"||"Sérgio Silva Monteiro"|"Secretário de Estado das Obras Públicas, Transportes e Comunicações"|21-06-2011|
"GC19"||"Artur Trindade"|"Secretário de Estado da Energia"|21-06-2011|
"GC19"||"Cecília Meireles"|"Secretária de Estado do Turismo"|21-06-2011|
"GC19"||"José Diogo Albuquerque"|"Secretário de Estado da Agricultura"|21-06-2011|
"GC19"|1724|"Daniel Campelo"|"Secretário de Estado das Florestas e Desenvolvimento Rural"|21-06-2011|
"GC19"||"Manuel Pinto de Abreu"|"Secretário de Estado do Mar"|21-06-2011|
"GC19"||"Pedro Afonso de Paulo"|"Secretário de Estado do Ambiente e Ordenamento do Território"|21-06-2011|
"GC19"||"Fernando Leal da Costa"|"Secretário de Estado Adjunto do Ministro da Saúde"|21-06-2011|
"GC19"||"Manuel Ferreira Teixeira"|"Secretário de Estado da Saúde"|21-06-2011|
"GC19"||"João Filipe Queiró"|"Secretário de Estado do Ensino Superior"|21-06-2011|
"GC19"||"Leonor Parreira"|"Secretária de Estado da Ciência"|21-06-2011|
"GC19"||"João Casanova de Almeida"|"Secretário de Estado do Ensino e Administração Escolar"|21-06-2011|
"GC19"||"Isabel Leite"|"Secretária de Estado do Ensino Básico e Secundário"|21-06-2011|
"GC19"|646|"Marco António Costa"|"Secretário de Estado da Solidariedade e da Segurança Social"|21-06-2011|
