"15172"|"235"|"Condecoracoes"|"Grã-Cruz da Ordem da Liberdade"|"2010-08-07 00:14:51"
"15133"|"224"|"CargosExercidos"|"VICE-PRESIDENTE"|"2010-08-07 00:14:37"
"15132"|"224"|"CargosExercidos"|"DIRECTOR"|"2010-08-07 00:14:37"
"15131"|"224"|"CargosExercidos"|"PRESIDENTE"|"2010-08-07 00:14:37"
"15130"|"224"|"CargosExercidos"|"PRESIDENTE"|"2010-08-07 00:14:37"
"15129"|"224"|"CargosExercidos"|"PRESIDENTE"|"2010-08-07 00:14:37"
"15128"|"224"|"CargosExercidos"|"PRESIDENTE"|"2010-08-07 00:14:37"
"15127"|"224"|"CargosExercidos"|"PRESIDENTE"|"2010-08-07 00:14:37"
"15126"|"219"|"Condecoracoes"|"Apreciada pelo Presidente da República com a Medalha de Grande Oficial da Ordem do Infante D. Henrique"|"2010-08-07 00:14:32"
"15115"|"212"|"CargosExercidos"|"Dirigente da Associação Intervenção Democrática, do Conselho Portugu~es para a Paz e Cooperação do movimento Português de Amizade Portugal-Cuba."|"2010-08-07 00:14:23"
"15114"|"212"|"CargosExercidos"|"Membro do Conselho de Informação para a ANOP"|"2010-08-07 00:14:23"
"15113"|"212"|"CargosExercidos"|"Dirigente do Movimento Democrático Português"|"2010-08-07 00:14:23"
"15112"|"212"|"CargosExercidos"|"Deputado nas II, III, IV, V, VI e VII Legislaturas, nas 3 primeiras nas listas da APU e nas outras nas listas da CDU"|"2010-08-07 00:14:23"
"15111"|"210"|"CargosExercidos"|"Vice Presidente do GP/PCP"|"2010-08-07 00:14:20"
"15110"|"210"|"CargosExercidos"|"Membro da Comissão Política do Comité Central do PCP"|"2010-08-07 00:14:20"
"15109"|"210"|"CargosExercidos"|"Coordenador da C.C. das Comissões de Trabalhadores da Região de Lisboa"|"2010-08-07 00:14:20"
"15108"|"210"|"CargosExercidos"|"Membro da Comissão Executiva Nacional da C.C. do PCP"|"2010-08-07 00:14:20"
"15102"|"210"|"CargosDesempenha"|"Deputado na X Legislatura;"|"2010-08-07 00:14:20"
"15101"|"209"|"Condecoracoes"|"Comenda da Ordem do Mérito Civil do Reino de Espanha"|"2010-08-07 00:14:18"
"15100"|"209"|"HabilitacoesLiterarias"|"Frequência  de Doutoramento em Direito"|"2010-08-07 00:14:18"
"15099"|"209"|"HabilitacoesLiterarias"|"Mestrado em Ciência Política"|"2010-08-07 00:14:18"
"14956"|"193"|"Comissoes"|"Comissão de Defesa Nacional"|"2010-08-07 00:13:53"
"14957"|"193"|"Comissoes"|"Comissão do Ambiente, Ordenamento do Território e Poder Local [Presidente]"|"2010-08-07 00:13:53"
"13561"|"11"|"Condecoracoes"|"MEDALHA DAS CAMPANHAS DE AFRICA"|"2010-08-07 00:05:24"
"13562"|"11"|"Condecoracoes"|"LOUVORES DE AMBITO MILITAR E CIVIL"|"2010-08-07 00:05:24"
"14955"|"193"|"CargosExercidos"|"Membro fundador da Cooperativa \"Radio Portalegre\";"|"2010-08-07 00:13:53"
"15098"|"209"|"HabilitacoesLiterarias"|"Licenciatura em Direito"|"2010-08-07 00:14:18"
"13569"|"13"|"CargosDesempenha"|"SECRETARIO"|"2010-08-07 00:05:26"
"14954"|"193"|"CargosExercidos"|"Director Semanário Regional \"A Rabeca\";"|"2010-08-07 00:13:53"
"15097"|"209"|"Comissoes"|"Grupo de Trabalho - Alteração do Código de Execução de Penas (PJL 268-PCP e 277-PSD)"|"2010-08-07 00:14:18"
"14953"|"193"|"CargosExercidos"|"Fundador e Membro da Direcção do Sindicato dos Professores do Distrito de Portalegre;"|"2010-08-07 00:13:53"
"13579"|"14"|"CargosExercidos"|"COLABORADOR"|"2010-08-07 00:05:27"
"13578"|"14"|"CargosExercidos"|"ADMINISTRADOR"|"2010-08-07 00:05:27"
"13577"|"14"|"CargosExercidos"|"CHEFE DIVISAO"|"2010-08-07 00:05:27"
"13582"|"15"|"CargosExercidos"|"VICE-PRESIDENTE"|"2010-08-07 00:05:28"
