"Governo"|"MP_id"|"Nome deputado"|"Nome do cargo"|"Data de início"|"Data de fim"
"GC09"||"Amândio de Azevedo"|"Ministro do Trabalho e Segurança Social"|09-06-1983|05-11-1985
"GC09"|3230|"António Maldonado Gonelha"|"Ministro da Saúde"|09-06-1983|05-11-1985
"GC09"||"Álvaro Barreto"|"Ministro da Agricultura"|17-10-1984|05-11-1985
"GC09"||"Manuel Soares Costa"|"Ministro da Agricultura, Florestas e Alimentação"|09-06-1983|17-10-1984
"GC09"||"José Veiga Simão"|"Ministro da Indústria e Energia"|09-06-1983|05-11-1985
"GC09"||"Joaquim Ferreira do Amaral"|"Ministro do Comércio e Turismo"|17-10-1984|05-11-1985
"GC09"||"Álvaro Barreto"|"Ministro do Comércio e Turismo"|09-06-1983|17-10-1984
"GC09"||"António Coimbra Martins"|"Ministro da Cultura"|09-06-1983|05-11-1985
"GC09"|3154|"Carlos Melancia"|"Ministro do Equipamento Social"|15-02-1985|05-11-1985
"GC09"||"João Rosado Correia"|"Ministro do Equipamento Social"|09-06-1983|15-02-1985
"GC09"||"Francisco de Sousa Tavares"|"Ministro da Qualidade de Vida"|12-06-1984|05-11-1985
"GC09"||"António Capucho"|"Ministro da Qualidade de Vida"|09-06-1983|12-06-1984
"GC09"||"José de Almeida Serra"|"Ministro do Mar"|15-02-1985|05-11-1985
"GC09"|3154|"Carlos Melancia"|"Ministro do Mar"|09-06-1983|15-02-1985
"GC09"||"Alberto Amorim Pereira"|"Subsecretário de Estado do Orçamento"|18-06-1983|05-11-1985
"GC10"||"Aníbal Cavaco Silva"|"Primeiro-Ministro"|06-11-1985|16-08-1987
"GC10"||"Eurico de Melo"|"Ministro de Estado"|06-11-1985|16-08-1987
"GC10"||"Eurico de Melo"|"Ministro da Administração Interna"|06-11-1985|16-08-1987
"GC10"||"Fernando Nogueira"|"Ministro Adjunto e para os Assuntos Parlamentares"|06-11-1985|16-08-1987
"GC10"||"Leonardo Ribeiro de Almeida"|"Ministro da Defesa Nacional"|06-11-1985|16-08-1987
"GC10"||"Pedro Pires de Miranda"|"Ministro dos Negócios Estrangeiros"|06-11-1985|16-08-1987
"GC10"||"Miguel José Ribeiro Cadilhe"|"Ministro das Finanças"|06-11-1985|16-08-1987
"GC10"||"Mário Raposo"|"Ministro da Justiça"|06-11-1985|16-08-1987
"GC10"|376|"Luís Valente de Oliveira"|"Ministro do Plano e Administração do Território"|06-11-1985|16-08-1987
"GC10"||"Álvaro Barreto"|"Ministro da Agricultura, Pescas e Alimentação"|06-11-1985|16-08-1987
"GC10"||"Fernando Santos Martins"|"Ministro da Indústria e Comércio"|06-11-1985|16-08-1987
"GC10"||"João de Deus Pinheiro"|"Ministro da Educação e Cultura"|06-11-1985|16-08-1987
"GC10"||"João Maria Oliveira Martins"|"Ministro das Obras Públicas, Transportes e Comunicações"|06-11-1985|16-08-1987
"GC10"||"Leonor Beleza"|"Ministro da Saúde"|06-11-1985|16-08-1987
"GC10"||"Luís Mira Amaral"|"Ministro do Trabalho e Segurança Social"|06-11-1985|16-08-1987
"GC11"||"Aníbal Cavaco Silva"|"Primeiro-Ministro"|17-08-1987|30-10-1991
"GC11"||"Fernando Nogueira"|"Ministro da Presidência"|17-08-1987|30-10-1991
"GC11"||"Fernando Nogueira"|"Ministro da Defesa Nacional"|05-03-1990|30-10-1991
"GC11"||"Carlos Brito"|"Ministro da Defesa Nacional"|05-01-1990|05-03-1990
