Denis Ramos Padeiro  ,PSD  ,Águeda 
Seia ,Jorge A. Santos Correia ,PS 
Trancoso ,António Morgado Baptista ,PSD 
Vila Nova de Foz Côa ,Celestino S. O Soares Carneiro ,PSD 
Alcobaça ,Joaquim Rui Coelho ,AD  
Alvaiázere ,Filipe Antunes Santos ,CDS 
Ansião ,Manuel Júlio Marques ,AD  
Batalha ,Francisco M. Santos Coutinho ,PSD 
Bombarral ,José M. Rosário Guilherme ,CDS 
Caldas da Rainha ,Luis Paiva Sousa ,CDS 
Castanheira de Pera ,Júlio P. Nunes Henriques ,PS 
Figueiró dos Vinhos ,José Simões Abreu ,PSD 
Leiria ,Afonso Lemos Proença ,CDS 
Marinha Grande ,Emílio Ferreira Rato ,APU  
Nazaré ,Luis F. Soares Monterroso ,PS 
Óbidos ,José A. Pereira Júnior ,PS 
Pedrógão Grande ,Manuel Henriques Coelho ,PSD 
Peniche ,José M. Malaquias Antunes ,PS 
Pombal ,Guilherme Gomes Santos ,PS 
Porto de Mós ,Artur J. P. Homem Trindade ,AD 
Alenquer ,Álvaro J. Gomes Pedro ,PS 
Arruda dos Vinhos ,Jorge M. Vassalo Oliveira ,PS 
Azambuja ,António José Rodrigues ,APU 
Cadaval ,João F. Ribeiro Correia ,AD  
Cascais ,Maria H. R. C. Salema Roseta ,PSD 
Lisboa ,Nuno Krus Abecassis ,AD  
Loures ,Severiano Pedro Falcão ,APU 
Lourinhã ,José Máximo Costa ,PS 
Mafra ,Joaquim Vale Morais ,AD 
Oeiras ,João A. D. P. Silva Ramos ,AD 
Sintra ,Fernando J. A Tavares Carvalho ,AD 
Sobral de Monte Agraço ,António Lopes Bugalho ,APU 
Torres Vedras ,Alberto Manuel Avelino ,PS 
Vila Franca de Xira ,Daniel Reis Branco ,APU 
Amadora ,Orlando G. Guerreiro Almeida ,APU 
Alter do Chão ,João M. Carita Pista ,PS 
Arronches ,Miguel Joaquim Lagarto ,PS 
Avis ,António Raimundo Bartolomeu ,APU 
Campo Maior ,Manuel R. Azinhais Nabeiro ,PS 
Castelo de Vide ,Carolino C. Pina Tapadejo ,PS 
Crato ,António J. Bastos Leitão ,PS 
Elvas ,Anibal A P. Oliveira Franco ,APU 
Fronteira ,João L. Oliveira Semedo ,PS 
Gavião ,Jaime C. Cordas Estorninho ,PS 
Marvão ,Manuel Pedro Paz ,PS 
Monforte ,António J. Falé Canoa ,PS 
Nisa ,José M. Semedo Basso ,APU 
Ponte de Sor ,José M. Abelho Amante ,APU 
Portalegre ,Rui G. Marques Simplício ,PS 
Sousel ,Artur R. Torres Pereira ,PSD 
Amarante ,Joaquim J. Macedo Teixeira ,PSD 
Baião ,Artur M. S. Carvalho Borges ,PS 
Felgueiras ,José M. Machado Matos ,PS 
Gondomar ,Manuel A Sousa Neves ,PS 
Lousada ,Amílcar A. Leite Neto ,AD  
Maia ,José Vieira Carvalho ,AD  
Marco Canavezes ,Avelino Ferreira Torres ,CDS 
Matosinhos ,José N. Rodrigues Miranda ,PS 
Paços de Ferreira ,Fernando M. T. Matos Vasconcelos ,PSD 
Paredes ,Jorge M. F. Queirós Malheiro ,CDS 
Penafiel ,António J. C. Luis Fundo ,PS 
Porto ,António G. Paulo Vallada ,AD  
Póvoa Varzim ,Manuel Vaz Silva ,CDS 
Santo Tirso ,Joaquim B. Ferreira Couto ,PS 
Valongo ,João Moreira Dias ,PS 
Vila do Conde ,Mário H. Moreira Almeida ,PS 
V. Nova Gaia ,António C. Gonçalves Fonseca ,PS 
Abrantes ,José Santos Jesus ,PS 
Alcanena ,Joaquim Pereira Henriques ,PS 
Almeirim ,Alfredo Bento Calado ,PS 
Alpiarça ,Armindo João Gaspar Pinhão ,APU 
Benavente ,António José Ganhão ,APU 
Cartaxo ,Renato Augusto Vieira Campos ,PS 
Chamusca ,Sérgio Morais Conceição Carrinho ,APU  
Constância ,Fernando M. A. Morgado Silva ,PSD 
Coruche ,Carlos Alberto Gomes ,APU 
Entroncamento ,Manuel Fanha Vieira ,PS 
Ferreira do Zêzere ,António Teixeira Antunes ,AD  
Golegã ,José Elias Melancia Godinho ,PS  
Mação ,Elvino Veira Silva Pereira ,AD  
Rio Maior ,Joaquim Pereira de Deus ,AD  
Salvaterra de Magos ,António Silva Ferreira Moreira ,PS 
Santarém ,Ladislau Teles Botas ,PS 
Sardoal ,Maria Francelina Santos Chambel ,PS 
Tomar ,Amândio Marques Murta ,AD  
Torres Novas ,Casimiro Gomes Pereira ,AD  
Vila Nova da Barquinha ,Rui Monteiro Picciochi ,PS 
Vila Nova de Ourém ,António Silva Teixeira ,CDS 
Alcácer do Sal ,Arlindo D. Conceição Passos ,APU 
Alcochete ,Miguel Boieiro ,APU 
Almada ,José Martins Vieira ,APU 
Barreiro ,Helder S. Nobre Madeira ,APU 
Grândola ,António J. Figueira Mendes ,APU 
Moita ,José A. M. Brito Apolónia ,APU 
Montijo ,Joaquim S. Ferreira Pinto ,APU 
Palmela ,António Ferreira Costa ,APU 
Santiago do Cacém ,Sérgio Brígido Martins ,APU 
Seixal ,Eufrázio F. Garcez José ,APU 
Sesimbra ,Ezequiel Lino ,APU 
Setúbal ,Francisco L. Rodrigues Lobo ,APU 
Sines ,Francisco M. Pereira Pacheco ,APU 
Arcos de Valdevez ,Américo Sequeira ,PSD 
Caminha ,José J. Pita Guerreiro ,PS 
Melgaço ,António R. Esteves Solheiro ,PS 
Monção ,Daniel Fernandes Domingues ,CDS 
Paredes de Coura ,José Sousa Guerreiro ,PS 
Ponte da Barca ,Gastão C. S. Mendes Guimarães ,AD  
Ponte de Lima ,João G. Abreu Lima ,AD  
Valença ,Mário Marques Pedra ,PSD 
Viana do Castelo ,Henrique Rodrigues Mata ,AD  
Vila Nova de Cerveira ,Germano Lopes Cantinho ,AD  
Alijó ,Anibal A. Santos Ferreira ,AD  
Boticas ,José J. Sousa Fernandes ,PSD 
Chaves ,Manuel Branco Teixeira ,PSD 
Mesão Frio ,António N. Teixeira Silva ,PSD 
Mondim de Basto ,Fernando C. B. Pinto Moura ,CDS 
Montalegre ,José A. Carvalho Moura ,PSD 
Murça ,Belmiro M. Morais Vilela ,PSD 
Peso da Régua ,António R. C. Santos Aguiar ,PS 
Ribeira de Pena ,João J. Alves Pereira ,AD  
Sabrosa ,José M. Ferreira Araújo ,AD  
Santa Marta de Penaguião ,Manuel A. Alves Dias ,AD  
Valpaços ,Mário Dias Parente ,PSD 
Vila Pouca de Aguiar ,António Gil ,AD  
Vila Real ,Armando Afonso Moreira ,AD  
Armamar ,CDS ,Fernando M. S. Ribeiro Azevedo 
Carregal do Sal ,PSD ,Artur Jorge S. Pereira Silva 
Castro Daire ,PSD ,César Costa Santos 
Cinfães ,PS ,Américo Freitas Gonçalves 
Lamego ,PSD ,António Ferreira 
Mangualde ,PS ,Mário Videira Lopes 
Moimenta da Beira ,PSD ,Manuel Ferreira Pinto 
Mortágua ,PSD ,Bráulio Afonso Sousa 
Nelas ,PS ,José Albuquerque Vaz 
Oliveira de Frades ,PSD ,Manuel Silva Almeida 
Penalva do castelo ,CDS ,Gabriel Albuquerque Costa 
Penedono ,António Manuel Gonçalves ,AD  
Santa Comba Dão ,AD  ,José Júlio Gonçalves Santos 
São João da Pesqueira ,CDS ,João Nascimento Costa 
São Pedro do Sul ,Manuel António Gomes Martins ,PSD 
Sátão ,CDS ,Luis M. Magalhães Cabral 
Sernancelhe ,CDS ,Franclim Quintais Silva 
Tabuaço ,Boaventura Gonçalves Freitas ,CDS 
Tarouca ,AD  ,Deodato Ferreira Pais 
Tondela ,CDS ,António Manuel Tenreiro Cruz 
Vila Nova de Paiva ,CDS ,Avantino Loureiro Beleza 
Viseu ,António Costa Vidal ,PSD 
Vouzela ,PSD ,Augusto Santos Guimarães 
Angra do Heroísmo ,Leopoldino Rocha Tavares ,PSD  
Calheta ,Luis N. Pereira Serpa  ,PSD  
Santa Cruz da Graciosa  ,Maria Liónia Fagundes Pereira ,PSD  
Velas  ,António Frederico Correia Maciel ,PSD  
Vila Praia da Vitória  ,António Carmo ,PSD  
Corvo   ,José Vinício Fraga ,PSD  
Horta  ,Herberto Bettencourt Dart ,PSD  
Lajes das Flores  ,Albino C. Alves Gomes ,ASDI 
Lajes do Pico  ,Manuel Urbano Dutra  ,PSD  
Madalena  ,Manuel Pereira Furtado ,PSD  
Santa Cruz das Flores ,João Manuel Sousa  ,PSD  
São Roque do Pico  ,António Simas Costa ,PSD  
Lagoa ,Ângelo M. Albergaria Pacheco ,PSD 
Nordeste  ,Eduardo M. Pacheco Medeiros  ,PSD  
Ponta Delgada  ,António C. P. Costa Santos ,PSD  
Povoação  ,Manuel Moniz Cardoso ,PSD  
Ribeira Grande  ,Artur F. Sousa Martins  ,PSD  
Vila Franca de Campo  ,António D. Carvalho Melo  ,PSD  
Vila do Porto  ,José H. Medeiros Chaves ,PS  
Calheta  ,Manuel Silva Leça ,PSD  
Câmara de Lobos  ,Arlindo J. Oliveira Melina ,PSD  
Funchal  ,João M. C. Sá Fernandes ,PSD  
Machico  ,Jorge de Sousa Gomes  ,PSD  
Ponta do Sol  ,José E. L. Teixeira Pita  ,PSD  
Porto Moniz ,Orlando Andrade Fernandes ,PSD 
Porto Santo  ,José E. Cunha Nogueira ,PSD  
Ribeira Brava  ,Luis A. C. Pereira Mendes  ,PSD  
Santa Cruz  ,Luis G. Andrade Rodrigues ,PSD  
Santana  ,Nicolau Gregório Freitas ,PSD  
São Vicente  ,Gabriel P. Drumond Esmeraldo  ,PSD  
