Deniz Cruz de Ramos Padeiro ,PPD / PSD ,Águeda 
Almeida ,José da Costa Reis ,PPD / PSD 
Celorico da Beira ,Júlio Manuel dos Santos ,PS 
Figueira de Castelo Rodrigo ,Fernando Carlos M. G. Bordalo ,PS 
Fornos de Algodres ,José da Costa Felício ,PPD / PSD 
Gouveia ,António José Santinho Pacheco ,PS 
Guarda ,Abílio Aleixo Curto ,PS 
Manteigas ,José Manuel Custódio Biscaia ,PPD / PSD 
Meda ,João Germano M. Leal Pinto ,PPD / PSD 
Pinhel ,António Miranda Cavalheiro ,PS 
Sabugal  ,José Santos Freire ,PS 
Seia ,Eduardo Mendes de Brito ,PS 
Trancoso ,Júlio José Saraiva Sarmento ,PPD / PSD 
Vila Nova de Foz Côa ,António dos Santos A. Gouveia ,PPD / PSD 
Alcobaça ,Miguel Martinho F. Guerra ,PS 
Alvaiázere ,Álvaro Clemente P. Simões ,PPD / PSD 
Ansião ,Fernando Ribeiro Marques ,PPD / PSD 
Batalha ,Raul Miguel de Castro ,CDS - PP 
Bombarral ,António Carlos A. Álvaro ,PPD / PSD 
Caldas da Rainha ,Fernando José da Costa ,PPD / PSD 
Castanheira de Pera ,Pedro Manuel B. T. Henriques ,PS 
Figueiró dos Vinhos ,Fernando Manuel da C. Manata ,PS 
Leiria ,Afonso Lemos Proença ,PPD / PSD 
Marinha Grande ,Álvaro Neto Órfão ,PS 
Nazaré ,Jorge Codinha Antunes Barroso ,PPD / PSD 
Óbidos ,José António Pereira Júnior ,PS 
Pedrógão Grande ,Mário Coelho Fernandes ,PS 
Peniche ,João Augusto Tavares Barradas ,PPD / PSD 
Pombal ,Narciso Ferreira Mota ,PPD / PSD 
Porto de Mós ,José Maria Oliveira Ferreira ,PPD / PSD 
Alenquer ,PS ,Álvaro Joaquim Gomes Pedro 
Arruda dos Vinhos ,Mário Henrique F. Carvalho ,PS 
Cadaval ,PS ,Valentim Carvalho Matias 
Cascais ,PS ,José Luis Judas 
Lisboa ,Jorge F. Branco de Sampaio ,PS/PCP/PEV/PSR/UDP
Loures ,PCP / PEV ,Demétrio Carlos Alves 
Lourinhã ,José Manuel Dias Custódio ,PS 
Oeiras ,PPD / PSD ,Isaltino Afonso Morais 
Sintra ,PS ,Edite de Fátima S. M. Estrela 
Sobral de Monte Agraço ,PCP / PEV ,António Lopes Bogalho 
Torres Vedras ,José Augusto de Carvalho ,PS 
Vila Franca de Xira ,PCP / PEV ,Daniel dos Reis Branco 
Amadora ,Orlando Gaspar G. Almeida ,PCP / PEV 
Alter do Chão ,António Hemetério Airoso Cruz ,PPD / PSD 
Arronches ,Gil da Conceição P. Romão ,PS 
Avis ,António Raimundo Bartolomeu ,PCP / PEV 
Campo Maior ,João do Nascimento Gama Guerra ,PS 
Castelo de Vide ,Joaquim Pinto Ferreira Canário ,PS 
Crato ,Manuel António Sanches Ferreira ,PCP / PEV 
Elvas ,Rondão Almeida ,PS 
Fronteira ,Pedro Namorado Lancha ,PPD / PSD 
Gavião ,João Galinha Barreto ,PS 
Marvão ,António Moura Andrade ,PPD / PSD 
Monforte ,António Falé Canoa ,PS 
Nisa ,José Manuel Semedo Basso ,PCP / PEV 
Ponte de Sor ,Joaquim Louro Semedo Carita ,PS 
Portalegre ,João Transmontano de O. Miguens ,PPD / PSD 
Sousel ,Artur Ryder Torres Pereira ,PPD / PSD 
Amarante ,Francisco José P. de A. Miranda ,PS 
Baião ,Emília dos Anjos P. da Silva ,PPD / PSD 
Felgueiras ,Júlio Manuel de C. Lopes Faria ,PS 
Gondomar ,Valentim Loureiro ,PPD / PSD 
Lousada ,Jorge Manuel F. M. Magalhães ,PS 
Maia ,José Vieira de Carvalho ,PPD / PSD 
Marco de Canavezes ,Avelino Ferreira Torres ,CDS - PP 
Matosinhos ,José Narciso R. de Miranda ,PS 
Paços de Ferreira ,Arménio da Assunção Pereira ,PPD / PSD 
Paredes ,José A Granja R. da Fonseca ,PPD / PSD 
Penafiel ,Agostinho Moreira Gonçalves ,PS 
Porto ,Fernando Manuel dos S. Gomes ,PS 
Póvoa Varzim ,José Macedo Vieira ,PPD / PSD 
Santo Tirso ,Joaquim Barbosa Ferreira Couto ,PS 
Valongo ,Fernando Horácio M. P. de Melo ,PPD / PSD 
Vila do Conde ,Mário H. Moreira de Almeida ,PS 
V. Nova Gaia ,José Heitor M. Carvalheiras ,PS 
Abrantes ,Nelson Augusto M. De Carvalho ,PS 
Alcanena ,Carlos Manuel Carvalho Cunha ,PS 
Almeirim ,José Joaquim G. de Sousa Gomes ,PS 
Alpiarça ,Raul Arranzeiro Figueiredo ,PCP / PEV 
Benavente ,António José Ganhão ,PCP / PEV 
Cartaxo ,José Manuel V. Conde Rodrigues ,PS 
Chamusca ,Sérgio M. Da Conceição Carrinho ,PCP / PEV 
Constância ,António Manuel dos S. Mendes ,PCP / PEV 
Coruche ,Manuel d’Azevedo Brandão ,PCP / PEV 
Entroncamento ,José Pereira da Cunha ,PS 
Ferreira do Zêzere ,Luis Ribeiro Pereira ,PPD / PSD 
Golegã ,Manuel Ferraz Vicente Madeira ,PCP / PEV 
Mação ,Elvino Vieira da Silva Pereira ,PPD / PSD 
Rio Maior ,Silvino Manuel Gomes Sequeira ,PS 
Salvaterra de Magos ,António da Silva F. Moreira ,PS 
Santarém ,José Miguel Correia Noras ,PS 
Sardoal ,Fernando C. Moleirinho ,PPD / PSD 
Tomar ,Pedro Alexandre Ramos Marques ,PS 
Torres Novas ,António Manuel O Rodrigues ,PS 
Vila Nova da Barquinha ,José Eduardo Ramos Paulo ,PS 
Vila Nova de Ourém ,Mário da Silva C. Albuquerque ,PPD / PSD 
Alcácer do Sal ,Manuel Rogério de Sousa Brito ,PCP / PEV 
Alcochete ,Miguel Boieiro ,PCP / PEV 
Almada ,Maria Emília G. Neto de Sousa ,PCP / PEV 
Barreiro ,Pedro Alberto C. A. Canário ,PCP / PEV 
Grândola ,Fernando A. de O. Travassos ,PCP / PEV 
Moita ,José Luis Lopes Pereira ,PCP / PEV 
Montijo ,Jacinta Maria Peniche Ricardo ,PCP / PEV 
Palmela ,Carlos M. Barateiro de Sousa ,PCP / PEV 
