José Carvalho Ribeiro ,PSD  ,Águeda 
Sabugal  ,Joaquim José Nunes Portas ,CDS 
Seia ,Jorge A. Santos Correia ,PSD 
Trancoso ,Júlio J. Saraiva Sarmento ,PSD 
Vila Nova de Foz Côa ,António S. Aguiar Gouveia ,PSD 
Alcobaça ,Miguel M. Ferreira Guerra ,PS 
Alvaiázere ,Álvaro C. Pinto Simões ,PSD 
Ansião ,Fernando Ribeiro Marques ,PSD 
Batalha ,Raul Miguel Castro ,CDS 
Bombarral ,Carlos J. Henriques Serafim ,PS 
Caldas da Rainha ,Fernando José Costa ,PSD 
Castanheira de Pera ,Viriato Graça Oliva ,PSD 
Figueiró dos Vinhos ,Fernando M. Conceição Manata ,PS 
Leiria ,Afonso Lemos Proença ,PSD 
Marinha Grande ,João Barros Duarte ,PCP / PEV 
Nazaré ,Luis Filipe Soares Monterroso ,PS 
Óbidos ,José António Pereira Júnior ,PS 
Pedrógão Grande ,Manuel Henriques Coelho ,PSD 
Peniche ,João A Tavares Barradas ,PSD 
Pombal ,Armindo Lopes Carolino ,PS 
Porto de Mós ,José Luis Gomes Afonso ,PSD 
Alenquer ,Álvaro Joaquim Gomes Pedro ,PS 
Arruda dos Vinhos ,Mário H. Ferreira Carvalho ,PS 
Azambuja ,João F. Gomes Benavente ,PS 
Cadaval ,Valentim Carvalho Matias ,PS 
Cascais ,Georges A Silveira Dargent ,PSD 
Lisboa ,Jorge F. Branco Sampaio ,PS/PCP/MDP/PEV
Loures ,Severiano Pedro Falcão ,PCP / PEV 
Lourinhã ,José Manuel Dias Custódio ,PS 
Mafra ,José Maria Ministro Santos ,PSD 
Oeiras ,Isaltino Afonso Morais ,PSD 
Sintra ,João Francisco Justino ,PSD - CDS 
Sobral de Monte Agraço ,António Lopes Bogalho ,PCP / PEV 
Torres Vedras ,José A Clemente Carvalho ,PS 
Vila Franca de Xira ,Daniel Reis Branco ,PCP / PEV 
Amadora ,Orlando G. Guerreiro Almeida ,PCP / PEV 
Alter do Chão ,Francisco M. Sousa Sancho ,PS 
Arronches ,Gil Conceição Palmeiro Romão ,PS 
Avis ,António Raimundo Bartolomeu ,PCP / PEV 
Campo Maior ,João Nascimento Gama Guerra ,PS 
Castelo de Vide ,Fernando Emílio Silva Soares ,PS 
Crato ,António José Bastos Leitão ,PS 
Elvas ,João M. V. Pereira Carpinteiro ,PSD 
Fronteira ,Manuel Moita Pereira ,PCP / PEV 
Gavião ,Jaime C. Cordas Estorninho ,PS 
Marvão ,António Moura Andrade ,PSD 
Monforte ,António José Falé Canoa ,PS 
Nisa ,José Manuel Basso ,PCP / PEV 
Ponte de Sor ,José Mariano Abelho Amante ,PCP / PEV 
Portalegre ,João T. Oliveira Miguens ,PSD 
Sousel ,Artur Ryder Torres Pereira ,PSD 
Amarante ,Manuel Antunes Magalhães ,PS 
Baião ,Artur M. S. Carvalho Borges ,PS 
Felgueiras ,Júlio Manuel C. Lopes Faria ,PS 
Gondomar ,Anibal Jaime Gomes Lira ,PS 
Lousada ,Jorge M. F. Malheiro Magalhães ,PS 
Maia ,José Vieira Carvalho ,PSD 
Marco de Canavezes ,Avelino Ferreira Torres ,CDS 
Matosinhos ,José N. Rodrigues Miranda ,PS 
Paços de Ferreira ,Arménio Assunção Pereira ,PSD 
Paredes ,Jorge M. F. Queirós Malheiro ,CDS 
Penafiel ,António J. Costa Luis Fundo ,PS 
Porto ,Fernando Manuel Santos Gomes ,PS 
Póvoa Varzim ,Manuel Vaz Silva ,PSD 
Santo Tirso ,Joaquim B. Ferreira Couto ,PS 
Valongo ,João Moreira Dias ,PS 
Vila do Conde ,Mário H. Moreira Almeida ,PS 
V. Nova Gaia ,José H. Meireles Carvalheiras ,PS 
Abrantes ,Humberto Pires Lopes  ,PSD 
Alcanena ,Carlos M. Carvalho Cunha ,PS 
Almeirim ,José J. Gameiro Sousa Gomes ,PS 
Alpiarça ,Armindo J. Gaspar Pinhão ,PCP / PEV 
Benavente ,António José Ganhão ,PCP / PEV 
Cartaxo ,Renato A. Vieira Campos ,PS 
Chamusca ,Sérgio M. Conceição Carrinho ,PCP / PEV 
Constância ,António M. Santos Mendes ,PCP / PEV 
Coruche ,Manuel Azevedo Brandão ,PCP / PEV 
Entroncamento ,José Pereira Cunha ,PS 
Ferreira do Zêzere ,António Teixeira Antunes ,PSD 
Golegã ,Manuel F. Vicente Madeira ,PCP / PEV 
Mação ,Elvino V. Silva Pereira ,PSD 
Rio Maior ,Silvino M. Gomes Sequeira ,PS 
Salvaterra de Magos ,António S. Ferreira Moreira ,PS 
Santarém ,Ladislau Teles Botas ,PS 
Sardoal ,Maria F. Santos Chambel ,PS 
Tomar ,Pedro A Ramos Marques ,PS 
Torres Novas ,Arnaldo F. Rodrigues Santos ,PSD 
Vila Nova da Barquinha ,Rui Monteiro Picciochi ,PS 
Vila Nova de Ourém ,Mário S. Coutinho Albuquerque ,PSD 
Alcácer do Sal ,Graciete Santos Baião ,PCP / PEV 
Alcochete ,Miguel Boieiro ,PCP / PEV 
Almada ,Maria Emília G. Neto Sousa ,PCP / PEV 
Barreiro ,Pedro A C. Andrade Canário ,PCP / PEV 
Grândola ,Cândido Matos Gago ,PCP / PEV 
Moita ,José Luis Lopes Pereira ,PCP / PEV 
Montijo ,José António R. Barbosa Caria ,PCP / PEV 
Palmela ,Carlos A Fernandes Pezinho ,PCP / PEV 
Santiago do Cacém ,Ramiro Francisco Guiomar Beja ,PCP / PEV 
Seixal ,Eufrázio Filipe Garcez José ,PCP / PEV 
Sesimbra ,Ezequiel Lino ,PCP / PEV 
Setúbal ,Manuel Mata Cáceres ,PS 
Sines ,Francisco M. Pereira O Pacheco ,PCP / PEV 
Arcos de Valdevez ,Américo Sequeira ,PSD 
Caminha ,José Joaquim Pita Guerreiro ,PS 
Melgaço ,António R. Esteves Solheiro ,PS 
Monção ,Joaquim Vieira Magalhães ,PSD 
Paredes de Coura ,José Sousa Guerreiro ,PS 
Ponte da Barca ,Gastão C. S. Mendes Guimarães ,PS 
Ponte de Lima ,Fernando A V. Calheiros Barros ,CDS 
Valença ,Mário Marques Pedra ,PSD 
Viana do Castelo ,Carlos F. Branco Morais  ,PSD 
Vila Nova de Cerveira ,José Manuel Vaz Carpinteira ,PS 
Alijó ,Anibal A. Santos Ferreira ,PSD 
Boticas ,José Joaquim Sousa Fernandes ,PSD 
Chaves ,Alexandre A Alves Chaves ,PS 
Mesão Frio ,Marco A P. Teixeira Silva ,PSD 
Mondim de Basto ,Fernando C. B. Pinto Moura ,CDS 
Montalegre ,Joaquim Lopes Pires ,PS 
Murça ,Belmiro M. Morais Vilela ,PSD 
Peso da Régua ,Álvaro Costa Mota ,PSD 
Ribeira de Pena ,João José Alves Pereira ,PSD 
Sabrosa ,Milcíades E. C. B. Carvalho ,PS 
Santa Marta de Penaguião ,Artur João Lourenço Vaz ,PS 
Valpaços ,Francisco Batista Tavares ,PSD 
Vila Pouca de Aguiar ,António Gil ,PSD 
Vila Real ,Armando Afonso Moreira ,PSD 
Armamar ,António Santos Monteiro ,PSD 
Carregal do Sal ,Atílio Santos Nunes ,CDS 
Castro Daire ,César Costa Santos ,PSD 
Cinfães ,Manuel C. Pinto Ferreira ,PSD 
Lamego ,Rui Paulo Vale Valadares ,PS 
Mangualde ,Mário Manuel Videira Lopes ,PS 
