Águeda,Gil Nadais Resende da Fonseca,PS
Albergaria-a-Velha,João Agostinho Pinto Pereira,PPD/PSD
Anadia,Litério Augusto Marques,PPD/PSD
Arouca,José Artur Tavares Neves,PS
Aveiro,Élio Manuel Delgado da Maia,PPD/PSD.CDS-PP
Castelo de Paiva,Gonçalo Fernando da Rocha de Jesus,PS
Espinho,Pinto Moreira,PPD/PSD
Estarreja,José Eduardo Alves Valente de Matos,PPD/PSD.CDS-PP
Santa Maria da Feira,Alfredo Oliveira Henriques,PPD/PSD
Ílhavo,José Agostinho Ribau Esteves,PPD/PSD
Mealhada,Carlos Alberto da Costa Cabral,PS
Murtosa,António Maria dos Santos Sousa,PPD/PSD
Oliveira de Azeméis,Hermínio José Sobral de Loureiro Gonçalves,PPD/PSD
Oliveira do Bairro,Mário João Ferreira da Silva Oliveira,PPD/PSD
Ovar,Manuel Alves de Oliveira,PS
São João da Madeira,Manuel Castro de Almeida,PPD/PSD
Sever do Vouga,Manuel Silva Soares,PS
Vagos,Rui Miguel Rocha da Cruz,PPD/PSD
Vale de Cambra,José António Bastos da Silva,PPD/PSD
Aljustrel,Nelson Domingos Brito,PS
Almodôvar,António José Messias do Rosário Sebastião,PPD/PSD
Alvito,João Luís Batista Penetra,PCP-PEV
Barrancos,António Pica Tereno,PCP-PEV
Beja,Jorge Pulido Valente,PS
Castro Verde,Francisco José Caldeira Duarte,PCP-PEV
Cuba,Francisco António Galinha Orelha,PS
Ferreira do Alentejo,Aníbal Sousa Reis Coelho da Costa,PS
Mértola,Jorge Paulo Colaço Rosa,PS
Moura,José Maria Prazeres Pós-de-Mina,PCP-PEV
Odemira,José Alberto Candeias Guerreiro,PS
Ourique,Pedro Nuno Raposo Prazeres do Carmo,PS
Serpa,João Manuel Rocha da Silva,PCP-PEV
Vidigueira,Manuel Luís da Rosa Marra,PCP-PEV
Amares,José Lopes Gonçalves Barbosa,I
Barcelos,Miguel Jorge da Costa Gomes,PS
Braga,Francisco Soares Mesquita Machado,PS
Cabeceiras de Basto,Joaquim Barroso de Almeida Barreto,PS
Celorico de Basto,Joaquim Monteiro da Mota e Silva,PPD/PSD
Esposende,Fernando João Couto e Cepa,PPD/PSD
Fafe,José Manuel Martins Ribeiro,PS
Guimarães,António Magalhães da Silva,PS
Póvoa de Lanhoso,Manuel José Torcato Soares Baptista,PPD/PSD
Terras de Bouro,Joaquim José Cracel Viana,PS
Vieira do Minho,Jorge Augusto Mangas Abreu Dantas,PS
Vila Nova de Famalicão,Armindo Borges Alves da Costa,PPD/PSD.CDS-PP
Vila Verde,António Fernando Nogueira Cerqueira Vilela,PPD/PSD
Vizela,Dinis Manuel da Silva Costa,PS
Alfândega da Fé,Berta ferreira Milheiro Nunes,PS
Bragança,António Jorge Nunes,PPD/PSD
Carrazeda de Ansiães,José Luís Correia,PPD/PSD.CDS-PP
Freixo de Espada à Cinta,José Manuel Caldeira Santos,PS
Macedo de Cavaleiros,Beraldino José Vilarinho Pinto,PPD/PSD.CDS-PP
Miranda do Douro,Artur Manuel Rodrigues Nunes,PS
Mirandela,José Maria Lopes Silvano,PPD/PSD
Mogadouro,António G. S. Moraes Machado,PPD/PSD
Torre de Moncorvo,Fernando António Aires Ferreira,PS
Vila Flor,Artur G. G. Vaz Pimentel,PS
Vimioso,José Baptista Rodrigues,PPD/PSD
Vinhais,Américo Jaime Afonso Pereira,PS
Belmonte,Amândio Manuel Ferreira Melo,PS
Castelo Branco,Joaquim Morão Lopes Dias,PS
Covilhã,Carlos Alberto Pinto,PPD/PSD
Fundão,Manuel Joaquim Barata Frexes,PPD/PSD
Idanha-a-Nova,Álvaro José Cachucho Rocha,PS
Oleiros,José dos Santos Marques,PPD/PSD
Penamacor,Domingos Manuel Bicho Torrão,PS
Proença-a-Nova,João Paulo Marçal Lopes Catarino,PS
Sertã,José Farinha Nunes,PPD/PSD
Vila de Rei,Maria Irene da Conceição Barata Joaquim,PPD/PSD
Vila Velha de Ródão,Maria do Carmo de Jesus Amaro Sequeira,PS
Arganil,Ricardo João Barata Pereira Alves,PPD/PSD
Cantanhede,João Carlos Vidaurre Pais de Moura,PPD/PSD
Coimbra,Carlos Manuel de Sousa Encarnação,PPD/PSD.CDS-PP.PPM
Condeixa-a-Nova,Jorge Manuel da Conceição Teixeira Bento,PS
Figueira da Foz,João Albino Rainho Ataide das Neves,PS
Góis,Maria de Lurdes de Oliveira Castanheira,PS
Lousã,Fernando dos Santos Carvalho,PS
Mira,João Maria Ribeiro Reigota,PS
Miranda do Corvo,Maria de Fatima Simões Ramos do Vale Ferreira,PPD/PSD.CDS-PP
Montemor-o-Velho,Luis Manuel Barbosa Marques Leal,PPD/PSD.CDS-PP
Oliveira do Hospital,José Carlos Alexandrino Mendes,PS
Pampilhosa da Serra,José Alberto Pacheco Brito Dias,PPD/PSD
Penacova,Humberto José Batista Oliveira,PS
Penela,Paulo Jorge Simões Julio,PPD/PSD
Soure,João Eduardo Dias Madeira Gouveia,PS
Tábua,Francisco Ivo de Lima Portela,PS
Vila Nova de Poiares,Jaime Carlos Marta Soares,PPD/PSD
Alandroal,João Maria Aranha Grilo,XIV
Arraiolos,Jerónimo José Correia dos Lóios,PCP-PEV
Borba,Ângelo João Guarda Verdades de Sá,PS
Estremoz,Luis Filipe Pereira Mourinha,II
Évora,José Ernesto Ildefonso Leão d' Oliveira,PS
Montemor-o-Novo,Carlos Manuel Rodrigues Pinto de Sá,PCP-PEV
Mora,Luis Simão Duarte de Matos,PCP-PEV
Mourão,José Manuel Santinha Lopes,PS
Portel,Norberto António Lopes Patinho,PS
Redondo,Alfredo Falamino Barroso,III
Reguengos de Monsaraz,José Gabriel Paixão Calixto,PS
Vendas Novas,José Maria Rodrigues Figueira,PCP-PEV
Viana do Alentejo,Bernardino António Bengalinha Pinto,PS
Vila Viçosa,Luis Filipe Braguêz Caldeirinha Roma,PS
Albufeira,Desidério Jorge da Silva,PPD/PSD
Alcoutim,Francisco Augusto Caimoto Amaral,PPD/PSD
Aljezur,José Manuel Velhinho Amarelinho,PS
Castro Marim,José Fernandes Estevens,PPD/PSD
Faro,José Macário Custódio Correia,PPD/PSD.CDS-PP.MPT.PPM
Lagoa,José Inácio Marques Eduardo,PPD/PSD
Lagos,Júlio José Monteiro Barroso,PS
Loulé,Sebastião Francisco Seruca Emídio,PPD/PSD
Monchique,Rui Miguel da Silva André,PPD/PSD
Olhão,Francisco José Fernandes Leal,PS
Portimão,Manuel António da Luz,PS
São Brás de Alportel,António Paulo Jacinto Eusébio,PS
Silves,Maria Isabel Fernandes da Silva Soares,PPD/PSD
Tavira,Jorge Manuel do Nascimento Botelho,PS
Vila do Bispo,Adelino Augusto da Rocha Soares,PS
Vila Real de Santo António,Luís Filipe Soromenho Gomes,PPD/PSD
Aguiar da Beira,AUGUSTO FERNANDO ANDRADE,PPD/PSD
Almeida,ANTÓNIO BAPTISTA RIBEIRO,PPD/PSD.CDS-PP
Celorico da Beira,José Francisco Gomes Monteiro,PS
Figueira de Castelo Rodrigo,António Edmundo Freire Ribeiro,PPD/PSD
Fornos de Algodres,José Severino Soares Miranda,PPD/PSD
Gouveia,Álvaro dos Santos Amaro,PPD/PSD
Guarda,Joaquim Carlos Dias Valente,PS
Manteigas,Esmeraldo Saraiva Neto Carvalhinho,PS
Meda,Armando Luis Rodrigues Carneiro,PS
Pinhel,António Luis Monteiro Ruas,PPD/PSD
Sabugal,António dos Santos Robalo,PPD/PSD
Seia,CARLOS FILIPE CAMELO MIRANDA DE FIGUEIREDO,PS
Trancoso,Júlio José Saraiva Sarmento,PPD/PSD
Vila Nova de Foz Côa,Gustavo Sousa Duarte,PPD/PSD
Alcobaça,Paulo Jorge Marques Inácio,PPD/PSD
Alvaiázere,Paulo Tito Delgado Morgado,PPD/PSD
Ansião,Rui Alexandre Novo e Rocha,PPD/PSD
Batalha,António José Martins de Sousa Lucas,PPD/PSD
Bombarral,José Manuel Gonçalves Vieira,PPD/PSD
Caldas da Rainha,Fernando José da Costa,PPD/PSD
Castanheira de Pêra,Fernando José Pires Lopes,PS
Figueiró dos Vinhos,Rui Manuel de Almeida e Silva,PPD/PSD
Leiria,Raúl Miguel de Castro,PS
Marinha Grande,Álvaro Manuel Marques Pereira,PS
Nazaré,Jorge Codinha Antunes Barroso,PPD/PSD
Óbidos,Telmo Henrique Correia Daniel Faria,PPD/PSD
Pedrógão Grande,João Manuel Gomes Marques,PPD/PSD
Peniche,António José Ferreira Sousa Carreira Santos,PCP-PEV
Pombal,Narciso Ferreira Mota,PPD/PSD
Porto de Mós,João Salgueiro,PS
Alenquer,Jorge Manuel Cunha Mendes Riso,PS
Arruda dos Vinhos,Carlos Manuel Cruz Lourenço,PPD/PSD
Azambuja,Joaquim António Sousa Neves Ramos,PS
Cadaval,Aristides Lourenço Sécio,PPD/PSD
Cascais,António D'Orey Capucho,PPD/PSD.CDS-PP
Lisboa,António Luís Santos da Costa,PS
Loures,Carlos Alberto Dias Teixeira,PS
Lourinhã,José Manuel Dias Custódio,PS
Mafra,José Maria Ministro dos Santos,PPD/PSD
Oeiras,Isaltino Afonso Morais,I
Sintra,Fernando Jorge Loureiro de Roboredo Seara,PPD/PSD.CDS-PP.PPM.MPT
Sobral de Monte Agraço,António Lopes Bogalho,PCP-PEV
Torres Vedras,Carlos Manuel Soares Miguel,PS
Vila Franca de Xira,Maria da Luz Gameiro Beja Ferreira Rosinha,PS
Amadora,Joaquim Moreira Raposo,PS
Odivelas,Susana de Fátima Carvalho Amador,PS
Alter do Chão,Joviano Martins Vitorino,PPD/PSD
Arronches,Fermelinda de Jesus Pombo Carvalho,PPD/PSD
Avis,Manuel Maria Libério Coelho,PCP-PEV
Campo Maior,Ricardo Miguel Furtado Pinheiro,PS
Castelo de Vide,António Manuel Grincho Ribeiro,PPD/PSD
Crato,João Teresa Ribeiro,PCP-PEV
Elvas,José António Rondão Almeida,PS
Fronteira,Pedro Namorado Lancha,PPD/PSD
Gavião,Jorge Manuel Martins de Jesus,PS
Marvão,Victor Manuel Martins Frutuoso,PPD/PSD
Monforte,Miguel Alexandre Ferreira Rasquinho,PS
Nisa,Maria Gabriela Pereira Menino Tsukamoto,PCP-PEV
Ponte de Sor,João José de Carvalho Taveira Pinto,PS
Portalegre,José Fernando da Mata Cáceres,PPD/PSD
Sousel,Armando Jorge Mendonça Varela,PPD/PSD
Amarante,Armindo José Cunha Abreu,PS
Baião,José Luis Pereira Carneiro,PS
Felgueiras,José Inácio Cardoso Ribeiro,PPD/PSD.CDS-PP
Gondomar,Valentim dos Santos de Loureiro,XIII
Lousada,Jorge Manuel Fernandes Malheiro de Magalhães,PS
Maia,António Gonçalves Bragança Fernandes,PPD/PSD
Marco de Canaveses,Manuel Maria Moreira,PPD/PSD
Matosinhos,Guilherme Manuel Lopes Pinto,PS
Paços de Ferreira,Pedro Alexandre Oliveira Cardoso Pinto,PPD/PSD
Paredes,Celso Manuel Gomes Ferreira,PPD/PSD
Penafiel,Alberto Fernando da Silva Santos,PPD/PSD.CDS-PP
Porto,Rui Fernando da Silva Rio,PPD/PSD.CDS-PP
Póvoa de Varzim,José Macedo Vieira,PPD/PSD
Santo Tirso,António Alberto de Castro Fernandes,PS
Valongo,Fernando Horácio Moreira Pereira de Melo,PPD/PSD.CDS-PP
Vila do Conde,Mário Hermenegildo Moreira de Almeida,PS
Vila Nova de Gaia,Luis Filipe Menezes Lopes,PPD/PSD.CDS-PP
Trofa,Joana Fernanda Ferreira Lima,PS
Abrantes,Maria do Céu de Oliveira Antunes Albuquerque,PS
Alcanena,Fernanda Maria Pereira Asseiceira,PS
Almeirim,José Joaquim Gameiro de Sousa Gomes,PS
Alpiarça,Mário Fernando Atracado Pereira,PCP-PEV
Benavente,António José Ganhão,PCP-PEV
Cartaxo,Paulo Alexandre Fernandes Varela Simões Caldas,PS
Chamusca,Sérgio Morais da Conceição Carrinho,PCP-PEV
Constância,Máximo de Jesus Afonso Ferreira,PCP-PEV
Coruche,Dionísio Simão Mendes,PS
Entroncamento,Jaime Manuel Gonçalves Ramos,PPD/PSD
Ferreira do Zêzere,Jacinto Manuel Lopes Cristas Flores,PPD/PSD
Golegã,José Tavares Veiga Silva Maltez,PS
Mação,José Manuel Saldanha Rocha,PPD/PSD
Rio Maior,Isaura Maria Elias Crisóstomo Bernardino Morais,PPD/PSD.CDS-PP
Salvaterra de Magos,Ana Cristina Pardal Ribeiro,B.E.
Santarém,Francisco Maria Moita Flores,PPD/PSD
Sardoal,Fernando Constantino Moleirinho,PPD/PSD
Tomar,Fernando Rui Linhares Corvêlo de Sousa,PPD/PSD
Torres Novas,António Manuel Oliveira Rodrigues,PS
Vila Nova da Barquinha,Vítor Miguel Martins Arnaut Pombeiro,PS
Ourém,Paulo Alexandre Homem de Oliveira Fonseca,PS
Alcácer do Sal,Pedro Manuel Igrejas da Cunha Paredes,PS
Alcochete,Luis Miguel Carraça Franco,PCP-PEV
Almada,Maria Emília Guerreiro Neto de Sousa,PCP-PEV
Barreiro,Carlos Humberto Palácios Pinheiro de Carvalho,PCP-PEV
Grândola,Carlos Vicente Morais Beato,PS
Moita,João Manuel de Jesus Lobo,PCP-PEV
Montijo,Maria Amélia Macedo Antunes,PS
Palmela,Ana Teresa Vicente Custódio de Sá,PCP-PEV
Santiago do Cacém,Vitor Manuel Chaves de Caro Proença,PCP-PEV
Seixal,Alfredo José Monteiro da Costa,PCP-PEV
Sesimbra,Augusto Manuel Neto Carapinha Pólvora,PCP-PEV
Setúbal,Maria das Dores Marques Banheiro Meira,PCP-PEV
Sines,Manuel Coelho Carvalho,V
Arcos de Valdevez,Francisco Rodrigues de Araújo,PPD/PSD
Caminha,Júlia Paula Pires Pereira Costa,PPD/PSD
Melgaço,António Rui Esteves Soalheiro,PS
Monção,José Emílio Pedreira Moreira,PS
Paredes de Coura,António Pereira Júnior,PS
Ponte da Barca,António Vassalo Abreu,PS
Ponte de Lima,Victor Manuel Alves Mendes,CDS-PP
Valença,Jorge Manuel Salgueiro Mendes,PPD/PSD
Viana do Castelo,José Maria da Cunha Costa,PS
Vila Nova de Cerveira,José Manuel Vaz Carpinteira,PS
Alijó,José Artur Fontes Cascarejo,PS
Boticas,Fernando Pereira Campos,PPD/PSD
Chaves,João Gonçalves Martins Batista,PPD/PSD
Mesão Frio,Alberto Monteiro Pereira,PS
Mondim de Basto,Humberto da Costa Cerqueira,PS
Montalegre,Fernando José Gomes Rodrigues,PS
Murça,João Luís Teixeira Fernandes,PS
Peso da Régua,Nuno Manuel Sousa Pinto de Carvalho Gonçalves,PPD/PSD
Ribeira de Pena,Agostinho Alves Pinto,PPD/PSD.CDS-PP
Sabrosa,José Manuel Carvalho Marques,PS
Santa Marta de Penaguião,Francisco José Guedes Ribeiro,PS
Valpaços,Francisco Baptista Tavares,PPD/PSD
Vila Pouca de Aguiar,Domingos Manuel Pinto Batista Dias,PPD/PSD
Vila Real,Manuel do Nascimento Martins,PPD/PSD
Armamar,Hernâni Pinto da Fonseca e Almeida,PPD/PSD
Carregal do Sal,Atílio dos Santos Nunes,PPD/PSD
Castro Daire,José Fernando Carneiro Pereira,PS
Cinfães,José Manuel Pereira Pinto,PS
Lamego,Francisco Manuel Lopes,PPD/PSD.CDS-PP
