José Francisco Boaventura ,Vila do Bispo ,PS 
António dos Santos Reis ,Vila Real Santo António ,PS 
Joaquim C. Ferreira Lacerda ,Aguiar da Beira ,CDS 
António J. Sousa Júnior ,Almeida ,CDS 
Carlos A. Faria Almeida ,Celorico da Beira ,AD 
Adolfo Cabral Matos ,Figueira de Castelo Rodrigo ,PSD 
Francisco P. Almeida Menano ,Fornos de Algodres ,AD 
Alípio Mendes Melo ,Gouveia ,PS 
Abílio Aleixo Curto ,Guarda ,PS 
Joaquim A. C. Mota Veiga ,Manteigas ,AD 
Luis E. Figueiredo Lopes ,Meda ,AD 
Alfeu V. Barreiros Campos ,Pinhel ,AD 
João A. Antunes Lopes ,Sabugal  ,PSD 
Jorge A. Santos Correia ,Seia ,PS 
António Morgado Baptista ,Trancoso ,AD 
Sotero F. Mariano Ribeiro ,Vila Nova de Foz Côa ,AD 
João N. Raposo Magalhães ,Alcobaça ,AD 
Filipe Antunes Santos ,Alvaiázere ,AD 
Ansião ,Manuel Júlio Marques ,AD 
Batalha ,Francisco M. Santos Coutinho ,PSD 
Bombarral ,José M. Rosário Guilherme ,AD 
Caldas da Rainha ,José L. C. Lalanda Ribeiro ,PSD 
Castanheira de Pera ,Júlio P. Nunes Henriques ,PS 
Figueiró dos Vinhos ,José Simões Abreu ,PSD 
Leiria ,Carlos Santos Pimenta ,PSD 
Marinha Grande ,João Barros Duarte ,APU 
Nazaré ,Lourenço Bugalho Monteiro ,PS 
Óbidos ,José A. Pereira Júnior ,PS 
Pedrógão Grande ,Manuel Henriques Coelho ,PSD 
Peniche ,Luis A. Matos Almeida ,PSD 
Pombal ,Joaquim Almeida ,PSD 
Porto de Mós ,Artur J. P. Homem Trindade ,PSD 
Alenquer ,Álvaro J. Gomes Pedro ,PS 
Amadora ,Orlando G. Guerreiro Almeida ,APU 
Arruda dos Vinhos ,Jorge Vassalo Oliveira ,PS 
Azambuja ,Joaquim Narciso Correia ,APU 
Cadaval ,João F. Ribeiro Correia ,PSD 
Cascais ,Carlos Alberto Rosa ,CDS 
Lisboa ,Nuno Krus Abecassis ,AD 
Loures ,Severiano Pedro Falcão ,APU 
Lourinhã ,José Máximo Costa ,PS 
Mafra ,Filberto S. Gomes Barquinha ,AD 
Oeiras ,João A. D. P. Silva Ramos ,AD 
Sintra ,José H. Fernandes Lopes ,AD 
Sobral de Monte Agraço ,António Lopes Bogalho ,APU 
Torres Vedras ,Alberto Manuel Avelins ,PS 
Vila Franca de Xira ,Daniel Reis Branco ,APU 
Alter do Chão ,Francisco M. Sousa Sancho ,PS 
Arronches ,Miguel Joaquim Lagarto ,PS 
Avis ,António Raimundo Bartolomeu ,APU 
Campo Maior ,Manuel R. Azinhais Nabeiro ,PS 
Castelo de Vide ,Carolino C. Pina Tapadejo ,PS 
Crato ,João A. C. Martins Matos ,PS 
Elvas ,Joaquim L. Ventura Trindade ,PSD 
Fronteira ,João L. Oliveira Semedo ,PS 
Gavião ,António Moutinho Rúbio ,PS 
Marvão ,Manuel Pedro Paz ,PS 
Monforte ,António J. Falé Canoa ,PS 
Nisa ,Carlos Bento Correia ,PS 
Ponte de Sor ,José M. Abelho Amante ,APU 
Portalegre ,João J. Silva Maças ,AD 
Sousel ,Artur R. Torres Pereira ,AD 
Amarante ,PSD ,Amadeu Cerqueira Silva 
Baião ,AD ,Abel J. Castro Ribeiro 
Felgueiras ,PS ,José M. Machado Matos 
Gondomar ,AD ,Álvaro Rodrigues Sousa 
Lousada ,AD ,Amílcar A. Leite Neto 
Maia ,José Vieira Carvalho ,AD 
Matosinhos ,José N. Rodrigues Miranda ,PS 
Paços de Ferreira ,PSD ,Fernando M. T. Matos Vasconcelos 
Paredes ,CDS ,Jorge M. F. Queirós Malheiro 
Penafiel ,António Ferreira Alves ,AD 
Porto ,AD  ,Alfredo A. V. Coelho Magalhães 
Póvoa Varzim ,CDS ,Manuel Vaz Silva 
Santo Tirso ,Armando Palhares Magalhães ,AD  
Valongo ,AD  ,Aires Fernandes Martins 
Vila do Conde ,PS ,Mário H. Moreira Almeida 
V. Nova Gaia ,Ermegildo J. Silva Tavares ,PSD 
Abrantes ,José Santos Jesus ,PS  
Alcanena ,António Galveias Dias ,AD 
Almeirim ,Alfredo Bento Calado ,PS 
Alpiarça ,Olímpio Francisco Oliveira ,APU 
Benavente ,António José Ganhão ,APU 
Cartaxo ,Renato A. Vieira Campos ,PS 
Chamusca ,Sérgio M. Conceição Carrinho ,APU 
Constância ,Fernando M. A. Morgado Silva ,PSD  
Coruche ,Carlos Alberto Gomes ,APU 
Entroncamento ,Afonso Serrão Lopes ,PS 
Ferreira do Zêzere ,António Teixeira Antunes ,AD 
Golegã ,José E. Melancia Godinho ,PS 
Mação ,Elvino V. Silva Pereira ,AD 
Rio Maior ,Manuel Sequeira Nobre ,AD 
Salvaterra de Magos ,Rafael J. A. Ferreira Silva ,PS 
Santarém ,Ladislau Teles Botas ,PS 
Sardoal ,Maria F. Santos Chambel ,PS 
Tomar ,Amândio Marques Murta ,AD 
Torres Novas ,Casimiro Gomes Pereira ,AD 
Vila Nova da Barquinha ,Rui Monteiro Picciochi ,PS 
Vila Nova de Ourém ,Mário S. Coutinho Albuquerque ,PSD 
Alcácer do Sal ,Arlindo Conceição Passos ,APU 
Alcochete ,Constantino Pinto Rodrigues ,APU 
Almada ,José Martins Vieira ,APU 
Barreiro ,Helder S. Nobre Madeira ,APU 
Grândola ,António J. Figueira Mendes ,APU 
Moita ,José A. M. Brito Apolónia ,APU 
Montijo ,Acácio A. Soeiro Dores ,APU 
Palmela ,Edgar F. Coelho Costa ,APU 
Santiago do Cacém ,José E. E. Franco Cheis ,APU 
Seixal ,Eufrázio F. Garcez José ,APU 
Sesimbra ,Ezequiel Lino ,APU 
Setúbal ,Francisco L. Rodrigues Lobo ,APU 
Sines ,Francisco M. P. Ó. Pacheco ,APU 
Arcos de Valdevez ,Joaquim C. Cunha Cerqueira ,AD 
Caminha ,José J. Pita Guerreiro ,PS 
Melgaço ,Manuel B. Sousa Silva ,AD 
Monção ,Daniel Fernandes Domingues ,CDS 
Paredes de Coura ,José Sousa Guerreiro ,PS 
Ponte da Barca ,José M. A. V. Rocha Peixoto ,AD 
Ponte de Lima ,João G. Abreu Lima ,AD 
Valença ,Luis A. Matos Lima ,AD 
Viana do Castelo ,Manuel Pires Araújo ,AD 
Vila Nova de Cerveira ,João B. Lemos Costa ,AD 
Alijó ,Anibal A. Santos Ferreira ,AD 
Boticas ,José J. Sousa Fernandes ,PSD 
Chaves ,Manuel Branco Teixeira ,PSD 
Mesão Frio ,António N. Teixeira Silva ,PSD 
Mondim de Basto ,Nuno Ferreira Noronha ,CDS 
Montalegre ,José A. Carvalho Moura ,PSD 
Murça ,António G. Constantino Pereira ,PSD 
Peso da Régua ,António R. C. Santos Aguiar ,PS 
Ribeira de Pena ,João J. Alves Pereira ,PPM 
Sabrosa ,José M. Ferreira Araújo ,PSD 
Santa Marta de Penaguião ,Manuel A. Alves Dias ,AD 
Valpaços ,Manuel C. Sobrinho Morais ,AD 
Vila Pouca de Aguiar ,António Gil ,PSD 
Vila Real ,Armando Afonso Moreira ,PSD 
Armamar ,António Santos Monteiro ,AD 
