217,Manuel Rogério de Sousa Brito,2010-08-07 00:14:28
218,Maria de Lourdes Dias Fernandes Hespanhol,2010-08-07 00:14:30
219,Maria Odete dos Santos,2010-08-07 00:14:32
220,Mário António Baptista Tomé,2010-08-07 00:14:33
221,Miguel Urbano Tavares Rodrigues,2010-08-07 00:14:34
222,Octávio Augusto Teixeira,2010-08-07 00:14:35
223,Adriano Jose Alves Moreira,2010-08-07 00:14:36
224,Casimiro da Silva Tavares,2010-08-07 00:14:37
225,José Girão Pereira,2010-08-07 00:14:38
226,Jose Luis Nogueira de Brito,2010-08-07 00:14:39
227,Manuel de Almeida Cambra,2010-08-07 00:14:41
228,Manuel Tomás Cortez Rodrigues Queiró,2010-08-07 00:14:42
229,Narana Sinai Coissoró,2010-08-07 00:14:43
230,André Valente Martins,2010-08-07 00:14:44
231,Isabel Maria de Almeida e Castro,2010-08-07 00:14:45
232,Manuel Sérgio Vieira e Cunha,2010-08-07 00:14:46
233,Alberto Marques de Oliveira e Silva,2010-08-07 00:14:47
234,Carlos Manuel Natividade da Costa Candal,2010-08-07 00:14:49
235,Manuel Alegre de Melo Duarte,2010-08-07 00:14:51
236,Carlos Alberto do Vale Gomes Carvalhas,2010-08-07 00:14:52
237,Fernando Manuel Alves Cardoso Ferreira,2010-08-07 00:14:54
238,Antonio de Carvalho Martins,2010-08-07 00:14:55
239,António dos Santos Pires Afonso,2010-08-07 00:14:56
240,José Agostinho Ribau Esteves,2010-08-07 00:14:57
241,Alípio da Assunção Sol,2010-08-07 00:14:58
242,Joao Costa da Silva,2010-08-07 00:14:59
243,José de Oliveira Bastos,2010-08-07 00:15:01
244,Manuel Antonio da Rocha Pereira,2010-08-07 00:15:02
245,Faustino Alves de Matos,2010-08-07 00:15:03
246,Hermínio José Sobral Loureiro Gonçalves,2010-08-07 00:15:05
247,Eduardo Manuel Simões dos Santos Girão,2010-08-07 00:15:06
248,Jose Manuel Alves Elias da Costa,2010-08-07 00:15:07
249,José Mendes Bota,2010-08-07 00:15:09
250,Luis Manuel das Neves Rodrigues,2010-08-07 00:15:10
251,Antonio Marciano Graça Lopes,2010-08-07 00:15:12
252,Amilcar António Bengla Mourão,2010-08-07 00:15:13
253,José Amaro Freire Marreiros Figueira,2010-08-07 00:15:14
254,Maria Lisalete Martins Piçarra de Oliveira Pombeiro,2010-08-07 00:15:16
255,José António Lameira da Silva,2010-08-07 00:15:17
256,Eurico Silva Teixeira de Melo,2010-08-07 00:15:18
257,Isabel Maria Lucena Vasconcelos Cruz de Almeida Mota,2010-08-07 00:15:20
258,Antonio Joaquim Bastos Marques Mendes,2010-08-07 00:15:21
259,Amândio Santa Cruz Domingues Basto Oliveira,2010-08-07 00:15:22
260,Fernando Ribeiro dos Reis,2010-08-07 00:15:23
261,Fernando Jose da Costa,2010-08-07 00:15:25
262,Laurentino José Monteiro Castro Dias,2010-08-07 00:15:27
263,Luís Emídio Lopes Mateus Fazenda,2010-08-07 00:15:29
264,Alfredo Inacio de Abreu Ramalho,2010-08-07 00:15:30
265,Maria da Conceiçao Mendes Marques,2010-08-07 00:15:31
266,Luís Artur Ribeiro Pereira,2010-08-07 00:15:33
267,Fernando de Oliveira Naia dos Santos,2010-08-07 00:15:34
268,Maria Fernandes Gonçalves Maia,2010-08-07 00:15:35
269,José Mário de Lemos Damião,2010-08-07 00:15:36
270,Jose Albino da Silva Peneda,2010-08-07 00:15:37
271,José Maria Lopes Silvano,2010-08-07 00:15:39
272,João Manuel dos Santos Henriques,2010-08-07 00:15:41
273,Carlos Alberto Pinto,2010-08-07 00:15:43
274,Jose Manuel Nunes Liberato,2010-08-07 00:15:44
275,César Augusto Vila Franca,2010-08-07 00:15:46
276,Mário Dias Lopes,2010-08-07 00:15:58
277,Nuno Miguel Fontao Correia de Almeida Santos,2010-08-07 00:16:08
278,António Pinto Dias Rocha,2010-08-07 00:16:11
279,Maria Belém Puebla Simões,2010-08-07 00:16:12
280,Carlos Manuel de Sousa Encarnação,2010-08-07 00:16:14
281,Álvaro dos Santos Amaro,2010-08-07 00:16:15
282,Cipriano Rodrigues Martins,2010-08-07 00:16:16
283,Manuel Estácio Marques Flórido,2010-08-07 00:16:21
284,Vítor Manuel de Matos Cabo,2010-08-07 00:16:22
285,José Sócrates Carvalho Pinto de Sousa,2010-08-07 00:16:25
286,Joaquim Manuel Barros de Sousa,2010-08-07 00:16:26
287,Joaquim Martins Ferreira do Amaral,2010-08-07 00:16:28
288,Luís António Damásio Capoulas,2010-08-07 00:16:30
289,Maria José Paulo Caixeiro Barbosa Correia,2010-08-07 00:16:31
290,João Carlos Albuquerque Amaral Almeida,2010-08-07 00:16:34
291,Manuel Inacio dos Anjos Anjinho,2010-08-07 00:16:35
292,Maria Brigida Brito de Oliveira Silva Perdigão,2010-08-07 00:16:36
293,Fernando Manuel Barbosa Faria de Oliveira,2010-08-07 00:16:38
294,José Manuel Álvares da Costa e Oliveira,2010-08-07 00:16:39
295,Rui Manuel da Conceiçao Mateus,2010-08-07 00:16:40
296,N/A,2010-08-07 00:16:42
297,Fernando Antonio Andrez Varzea,2010-08-07 00:16:44
298,Eduardo Jose Mendes Delgado Pinto,2010-08-07 00:16:45
299,Carlos José das Neves Martins,2010-08-07 00:16:48
300,Manuel Joaquim Dias Loureiro,2010-08-07 00:16:50
301,Júlio José Saraiva Sarmento,2010-08-07 00:16:51
302,Nuno Jose Vaz,2010-08-07 00:16:52
303,João José Pina Prata,2010-08-07 00:16:54
304,N/A,2010-08-07 00:16:55
305,Arlindo Gomes de Carvalho,2010-08-07 00:16:57
306,Álvaro José Brilhante Laborinho Lúcio,2010-08-07 00:16:58
307,Manuel Simoes Rodrigues Marques,2010-08-07 00:16:59
308,João Carlos Barreiras Duarte,2010-08-07 00:17:01
309,Álvaro do Nascimento Chaves,2010-08-07 00:17:02
310,Idilberto Raul Rodrigues dos Santos,2010-08-07 00:17:03
311,Artur Jose Pontvianne Homem da Trindade,2010-08-07 00:17:05
312,Anibal Antonio Cavaco Silva,2010-08-07 00:17:06
313,Mário Júlio Montalvão Machado,2010-08-07 00:17:07
314,António D'orey Capucho,2010-08-07 00:17:08
315,Pedro Miguel de Santana Lopes,2010-08-07 00:17:10
316,Rui Manuel de Sousa Almeida Mendes,2010-08-07 00:17:12
317,Maria Teresa Pinto Basto Gouveia,2010-08-07 00:17:13
318,Antonio Poppe Lopes Cardoso,2010-08-07 00:17:15
319,Maria Manuela Dias Ferreira Leite,2010-08-07 00:17:16
320,Antonio Costa de Albuquerque de Sousa Lara,2010-08-07 00:17:17
321,Francisco José Fernandes Martins,2010-08-07 00:17:19
322,Rosa Maria Mendes de Matos Alves,2010-08-07 00:17:20
323,Eduarda Ester da Cruz Santos,2010-08-07 00:17:22
324,Fernando Pedro Peniche de Sousa Moutinho,2010-08-07 00:17:23
325,Jose Luis de Rezende Moreira da Silva,2010-08-07 00:17:24
326,Vítor Manuel da Conceição Santos,2010-08-07 00:17:26
327,Fernando Dias Santos Simões,2010-08-07 00:17:27
328,José António Moreira Marques,2010-08-07 00:17:28
329,António Luís Massano Simões,2010-08-07 00:17:29
330,António Manuel Cabrita Franco,2010-08-07 00:17:31
331,Mário Luis Maia Condessa,2010-08-07 00:17:32
332,Alberto Jose Cassola Delicado,2010-08-07 00:17:33
333,Joaquim Fernando Nogueira,2010-08-07 00:17:34
334,João de Deus Rogado Salvador Pinheiro,2010-08-07 00:17:36
335,Arlindo Marques da Cunha,2010-08-07 00:17:38
336,Luís Filipe Menezes Lopes,2010-08-07 00:17:40
337,Jose Vieira de Carvalho,2010-08-07 00:17:41
338,Alípio Barrosa Pereira Dias,2010-08-07 00:17:43
339,Jorge Avelino Braga de Macedo,2010-08-07 00:17:44
340,Joaquim Manuel Pereira de Almeida e Silva,2010-08-07 00:17:45
341,Maria Amélia Traça Machado,2010-08-07 00:17:46
342,Manuel Humberto da Silva Pontes,2010-08-07 00:17:47
344,Manuel Eugenio Pinheiro Martins Coelho,2010-08-07 00:23:03
345,Ernesto Augusto Rodrigues,2010-08-07 00:23:04
346,Joao Pedro Lemos Pimenta,2010-08-07 00:23:05
347,Alberto Manuel da Mota Pedroso,2010-08-07 00:23:06
348,Luis Fernando de Mira Amaral,2010-08-07 00:23:07
349,Anabela Honorio Matias,2010-08-07 00:23:08
350,António Augusto Fidalgo,2010-08-07 00:23:09
351,Luís Filipe Cortez Vaz Godinho,2010-08-07 00:23:10
352,José Barata António,2010-08-07 00:23:11
353,António José Gaurim Fernandes,2010-08-07 00:23:12
354,Marco Antonio Martins Chagas,2010-08-07 00:23:13
355,Carlos Alberto Martins Pimenta,2010-08-07 00:23:14
356,António Fernando Couto dos Santos,2010-08-07 00:23:16
357,Carlos Filipe Pereira de Oliveira,2010-08-07 00:23:17
358,Herculano Alexandre Freire Gonçalves,2010-08-07 00:23:18
359,Francisco Mendes da Costa,2010-08-07 00:23:19
360,Luisa Maria Pereira do Carmo Vaz do Nascimento,2010-08-07 00:23:20
361,Manuel Marçal Pina,2010-08-07 00:23:21
362,José Joaquim Martins do Rosário,2010-08-07 00:23:22
363,José Carlos da Silva Gueifão,2010-08-07 00:23:23
364,Carlos Alberto Espirito Santo Monteiro de Sousa,2010-08-07 00:23:24
365,Ramiro Antonio Ferreira,2010-08-07 00:23:25
366,José Nogueira Rodrigues Branco,2010-08-07 00:23:26
367,Aureliano Moreira Guedes,2010-08-07 00:23:27
368,Délio Tiago de Matos Canau,2010-08-07 00:23:28
369,José João Massapina Antunes da Silva,2010-08-07 00:23:29
370,Luís Manuel Gonçalves Marques Mendes,2010-08-07 00:23:31
371,Américo de Sequeira,2010-08-07 00:23:32
372,Joaquim Alfredo Afonso Pinheiro,2010-08-07 00:23:33
373,Domingos Gomes Afonso,2010-08-07 00:23:34
374,Domingos Manuel Saraiva Caldeira Barroso,2010-08-07 00:23:35
375,Antonio Alves da Cunha,2010-08-07 00:23:36
376,Luis Francisco Valente de Oliveira,2010-08-07 00:23:37
377,Nuno Manuel Franco Ribeiro da Silva,2010-08-07 00:23:38
378,Francisco Fernandes de Freire Felgueiras Gonçalves,2010-08-07 00:23:39
379,João Paulo da Rocha Guedes Alves,2010-08-07 00:23:40
380,Marília Valente Ferreira Abelha,2010-08-07 00:23:41
381,Antonio Francisco Caseiro Marques,2010-08-07 00:23:43
382,Albertino Azevedo do Fundão,2010-08-07 00:23:44
383,José Manuel Durão Barroso,2010-08-07 00:23:45
384,José Luís Campos Vieira de Castro,2010-08-07 00:23:46
385,João Carlos Azevedo Maia,2010-08-07 00:23:47
386,Antonio Vicente de Figueiredo,2010-08-07 00:23:48
387,José Laranja Ferreira Pardal,2010-08-07 00:23:49
388,Jorge Manuel da Silva Almeida,2010-08-07 00:23:50
389,Marina Olga Fonseca Egrejas Leitao Amaro,2010-08-07 00:23:51
390,João Bosco Soares Mota Amaral,2010-08-07 00:23:53
391,Pedro Antonio de Bettencourt Gomes,2010-08-07 00:23:54
